timestamp,OFI_best,OFI_multi,symbol,OFI_integrated,OFI_cross
2024-10-21 12:52:00+00:00,-654.0,-132.0985708615799,AAPL,-0.04428191090067776,
2024-10-21 12:53:00+00:00,-634.0,-42.198507160382526,AAPL,-0.5117282901476323,
2024-10-21 12:54:00+00:00,-977.0,-103.32718389166607,AAPL,-0.1660840859287818,
2024-10-21 12:55:00+00:00,-2384.0,-112.43923566989044,AAPL,-0.19015529637939427,
2024-10-21 12:56:00+00:00,-553.0,-89.19619574447043,AAPL,-0.3486918529987646,
2024-10-21 12:57:00+00:00,25.0,18.545270045918464,AAPL,-0.9453003819315219,
2024-10-21 12:58:00+00:00,-1553.0,-217.56008543621132,AAPL,0.35151020065722244,
2024-10-21 12:59:00+00:00,-49.0,-41.51150432914369,AAPL,-0.5718905269128155,
2024-10-21 13:00:00+00:00,-605.0,-156.00547551154577,AAPL,-0.05698786831140991,
2024-10-21 13:01:00+00:00,-339.0,-223.90981009719835,AAPL,0.34025540103659174,
2024-10-21 13:02:00+00:00,-3775.0,-906.50642224707,AAPL,2.510326321781685,
2024-10-21 13:03:00+00:00,-1325.0,-650.2831320876717,AAPL,1.1470080361360877,
2024-10-21 13:04:00+00:00,96.0,-147.73291103027458,AAPL,-0.36014295431245347,
